Region;Codigo region;Comuna;Poblacion;Casos_20;Casos_21;Totales;Tasa_C_20;Tasa_C_21;Tasa_C_tot;Muertes_20;Muertes_21;Muertes_tot;Tasa_M_20;Tasa_M_21;Tasa_M_tot
Tarapaca;1;Colchane;1583;114;69;183;7202;4359;11560;3;3;6;190;190;379
Tarapaca;1;Alto Hospicio;129999;5210;11293;16503;4008;8687;12695;73;180;253;56;138;195
Tarapaca;1;Iquique;223463;9736;21656;31392;4357;9691;14048;174;417;591;78;187;264
Tarapaca;1;Pozo Almonte;17395;1228;1217;2445;7059;6996;14056;18;24;42;103;138;241
Tarapaca;1;Huara;3000;217;267;484;7233;8900;16133;5;11;16;167;367;533
Tarapaca;1;Camina;1375;88;145;233;6400;10545;16945;2;9;11;145;655;800
Tarapaca;1;Pica;5958;477;572;1049;8006;9601;17607;9;10;19;151;168;319
Antofagasta;2;Taltal;13657;253;780;1033;1853;5711;7564;5;14;19;37;103;139
Antofagasta;2;Tocopilla;28079;422;2132;2554;1503;7593;9096;11;50;61;39;178;217
Antofagasta;2;Antofagasta;425725;13888;28130;42018;3262;6608;9870;280;531;811;66;125;190
Antofagasta;2;Sierra Gorda;1746;103;74;177;5899;4238;10137;2;1;3;115;57;172
Antofagasta;2;Calama;190336;8061;11347;19408;4235;5962;10197;279;249;528;147;131;277
Antofagasta;2;Maria Elena;6814;376;352;728;5518;5166;10684;17;5;22;249;73;323
Antofagasta;2;San Pedro de Atacama;10434;385;824;1209;3690;7897;11587;12;18;30;115;173;288
Antofagasta;2;Mejillones;14776;798;1237;2035;5401;8372;13772;9;17;26;61;115;176
Antofagasta;2;Ollague;287;28;16;44;9756;5575;15331;0;0;0;0;0;0
Atacama;3;Alto del Carmen;5729;46;238;284;803;4154;4957;1;2;3;17;35;52
Atacama;3;Huasco;11264;295;589;884;2619;5229;7848;4;7;11;36;62;98
Atacama;3;Chanaral;13164;197;923;1120;1497;7012;8508;2;25;27;15;190;205
Atacama;3;Freirina;7681;206;489;695;2682;6366;9048;4;12;16;52;156;208
Atacama;3;Caldera;19426;388;1447;1835;1997;7449;9446;6;16;22;31;82;113
Atacama;3;Vallenar;57009;1627;3840;5467;2854;6736;9590;21;59;80;37;103;140
Atacama;3;Diego de Almagro;14358;374;1037;1411;2605;7222;9827;2;14;16;14;98;111
Atacama;3;Copiapo;171766;4943;11988;16931;2878;6979;9857;70;200;270;41;116;157
Atacama;3;Tierra Amarilla;14312;456;1097;1553;3186;7665;10851;1;16;17;7;112;119
Coquimbo;4;Andacollo;11791;199;431;630;1688;3655;5343;2;19;21;17;161;178
Coquimbo;4;Canela;9546;122;392;514;1278;4106;5384;2;11;13;21;115;136
Coquimbo;4;Rio Hurtado;4372;56;188;244;1281;4300;5581;0;3;3;0;69;69
Coquimbo;4;Combarbala;13884;147;734;881;1059;5287;6345;3;23;26;22;166;187
Coquimbo;4;Monte Patria;32527;640;1427;2067;1968;4387;6355;10;44;54;31;135;166
Coquimbo;4;Salamanca;29110;292;1678;1970;1003;5764;6767;6;38;44;21;131;151
Coquimbo;4;Coquimbo;256735;5366;12866;18232;2090;5011;7101;91;299;390;35;116;152
Coquimbo;4;Vicuna;29741;364;1764;2128;1224;5931;7155;13;46;59;44;155;198
Coquimbo;4;La Serena;249656;4341;13709;18050;1739;5491;7230;84;293;377;34;117;151
Coquimbo;4;Illapel;32801;549;2024;2573;1674;6171;7844;8;36;44;24;110;134
Coquimbo;4;Paiguano;4675;44;325;369;941;6952;7893;3;4;7;64;86;150
Coquimbo;4;Ovalle;121269;3446;6317;9763;2842;5209;8051;70;162;232;58;134;191
Coquimbo;4;Punitaqui;12165;286;727;1013;2351;5976;8327;10;16;26;82;132;214
Coquimbo;4;Los Vilos;23374;367;1730;2097;1570;7401;8972;10;30;40;43;128;171
Coquimbo;4;La Higuera;4450;105;298;403;2360;6697;9056;1;9;10;22;202;225
Valpara¡so;5;Juan Fernandez;1033;1;0;1;97;0;97;0;0;0;0;0;0
Valpara¡so;5;Isla de Pascua;8277;10;;9;121;0;109;0;0;0;0;0;0
Valpara¡so;5;San Esteban;20643;391;1083;1474;1894;5246;7140;10;18;28;48;87;136
Valpara¡so;5;Rinconada;11263;215;602;817;1909;5345;7254;3;10;13;27;89;115
Valpara¡so;5;Putaendo;17645;372;938;1310;2108;5316;7424;19;32;51;108;181;289
Valpara¡so;5;Petorca;10558;205;605;810;1942;5730;7672;4;13;17;38;123;161
Valpara¡so;5;Cabildo;20663;543;1064;1607;2628;5149;7777;23;27;50;111;131;242
Valpara¡so;5;Hijuelas;19099;405;1085;1490;2121;5681;7801;16;24;40;84;126;209
Valpara¡so;5;Panquehue;7633;139;464;603;1821;6079;7900;1;10;11;13;131;144
Valpara¡so;5;La Cruz;25321;520;1495;2015;2054;5904;7958;8;16;24;32;63;95
Valpara¡so;5;Zapallar;7994;171;480;651;2139;6005;8144;7;8;15;88;100;188
Valpara¡so;5;Olmue;19266;402;1176;1578;2087;6104;8191;14;36;50;73;187;260
Valpara¡so;5;Nogales;23490;565;1371;1936;2405;5837;8242;15;42;57;64;179;243
Valpara¡so;5;Catemu;15213;385;875;1260;2531;5752;8282;7;22;29;46;145;191
Valpara¡so;5;Concon;45889;1058;2763;3821;2306;6021;8327;24;58;82;52;126;179
